machine_id,machine_type,hospital_site,install_date,date,daily_usage_hours
MRI-101,MRI,Riverside General,2016-03-12,2022-09-17,5.18
MRI-101,MRI,Riverside General,2016-03-12,2022-09-18,3.3
MRI-101,MRI,Riverside General,2016-03-12,2022-09-19,9.83
MRI-101,MRI,Riverside General,2016-03-12,2022-09-20,8.96
MRI-101,MRI,Riverside General,2016-03-12,2022-09-21,8.46
MRI-101,MRI,Riverside General,2016-03-12,2022-09-22,9.67
MRI-101,MRI,Riverside General,2016-03-12,2022-09-23,9.13
MRI-101,MRI,Riverside General,2016-03-12,2022-09-24,6.5
MRI-101,MRI,Riverside General,2016-03-12,2022-09-25,3.22
MRI-101,MRI,Riverside General,2016-03-12,2022-09-26,7.81
MRI-101,MRI,Riverside General,2016-03-12,2022-09-27,7.69
MRI-101,MRI,Riverside General,2016-03-12,2022-09-28,10.11
MRI-101,MRI,Riverside General,2016-03-12,2022-09-29,10.17
MRI-101,MRI,Riverside General,2016-03-12,2022-09-30,8.64
MRI-101,MRI,Riverside General,2016-03-12,2022-10-01,4.97
MRI-101,MRI,Riverside General,2016-03-12,2022-10-02,4.25
MRI-101,MRI,Riverside General,2016-03-12,2022-10-03,7.9
MRI-101,MRI,Riverside General,2016-03-12,2022-10-04,8.07
MRI-101,MRI,Riverside General,2016-03-12,2022-10-05,9.3
MRI-101,MRI,Riverside General,2016-03-12,2022-10-06,8.47
MRI-101,MRI,Riverside General,2016-03-12,2022-10-07,8.78
MRI-101,MRI,Riverside General,2016-03-12,2022-10-08,5.14
MRI-101,MRI,Riverside General,2016-03-12,2022-10-09,3.35
MRI-101,MRI,Riverside General,2016-03-12,2022-10-10,9.91
MRI-101,MRI,Riverside General,2016-03-12,2022-10-11,8.86
MRI-101,MRI,Riverside General,2016-03-12,2022-10-12,9.3
MRI-101,MRI,Riverside General,2016-03-12,2022-10-13,7.15
MRI-101,MRI,Riverside General,2016-03-12,2022-10-14,8.75
MRI-101,MRI,Riverside General,2016-03-12,2022-10-15,4.6
MRI-101,MRI,Riverside General,2016-03-12,2022-10-16,2.1
MRI-101,MRI,Riverside General,2016-03-12,2022-10-17,8.09
MRI-101,MRI,Riverside General,2016-03-12,2022-10-18,8.52
MRI-101,MRI,Riverside General,2016-03-12,2022-10-19,9.52
MRI-101,MRI,Riverside General,2016-03-12,2022-10-20,7.73
MRI-101,MRI,Riverside General,2016-03-12,2022-10-21,8.81
MRI-101,MRI,Riverside General,2016-03-12,2022-10-22,4.89
MRI-101,MRI,Riverside General,2016-03-12,2022-10-23,2.81
MRI-101,MRI,Riverside General,2016-03-12,2022-10-24,9.59
MRI-101,MRI,Riverside General,2016-03-12,2022-10-25,9.22
MRI-101,MRI,Riverside General,2016-03-12,2022-10-26,9.86
MRI-101,MRI,Riverside General,2016-03-12,2022-10-27,8.66
MRI-101,MRI,Riverside General,2016-03-12,2022-10-28,8.23
MRI-101,MRI,Riverside General,2016-03-12,2022-10-29,5.09
MRI-101,MRI,Riverside General,2016-03-12,2022-10-30,3.27
MRI-101,MRI,Riverside General,2016-03-12,2022-10-31,8.93
MRI-101,MRI,Riverside General,2016-03-12,2022-11-01,7.92
MRI-101,MRI,Riverside General,2016-03-12,2022-11-02,8.86
MRI-101,MRI,Riverside General,2016-03-12,2022-11-03,8.97
MRI-101,MRI,Riverside General,2016-03-12,2022-11-04,10.8
MRI-101,MRI,Riverside General,2016-03-12,2022-11-05,6.77
MRI-101,MRI,Riverside General,2016-03-12,2022-11-06,2.39
MRI-101,MRI,Riverside General,2016-03-12,2022-11-07,8.56
MRI-101,MRI,Riverside General,2016-03-12,2022-11-08,7.62
MRI-101,MRI,Riverside General,2016-03-12,2022-11-09,8.32
MRI-101,MRI,Riverside General,2016-03-12,2022-11-10,9.04
MRI-101,MRI,Riverside General,2016-03-12,2022-11-11,9.75
MRI-101,MRI,Riverside General,2016-03-12,2022-11-12,4.69
MRI-101,MRI,Riverside General,2016-03-12,2022-11-13,2.55
MRI-101,MRI,Riverside General,2016-03-12,2022-11-14,7.07
MRI-101,MRI,Riverside General,2016-03-12,2022-11-15,8.66
MRI-101,MRI,Riverside General,2016-03-12,2022-11-16,7.94
MRI-101,MRI,Riverside General,2016-03-12,2022-11-17,8.36
MRI-101,MRI,Riverside General,2016-03-12,2022-11-18,8.09
MRI-101,MRI,Riverside General,2016-03-12,2022-11-19,5.2
MRI-101,MRI,Riverside General,2016-03-12,2022-11-20,1.67
MRI-101,MRI,Riverside General,2016-03-12,2022-11-21,7.61
MRI-101,MRI,Riverside General,2016-03-12,2022-11-22,10.49
MRI-101,MRI,Riverside General,2016-03-12,2022-11-23,7.76
MRI-101,MRI,Riverside General,2016-03-12,2022-11-24,7.91
MRI-101,MRI,Riverside General,2016-03-12,2022-11-25,10.26
MRI-101,MRI,Riverside General,2016-03-12,2022-11-26,7.6
MRI-101,MRI,Riverside General,2016-03-12,2022-11-27,2.14
MRI-101,MRI,Riverside General,2016-03-12,2022-11-28,8.49
MRI-101,MRI,Riverside General,2016-03-12,2022-11-29,9.06
MRI-101,MRI,Riverside General,2016-03-12,2022-11-30,10.17
MRI-101,MRI,Riverside General,2016-03-12,2022-12-01,8.0
MRI-101,MRI,Riverside General,2016-03-12,2022-12-02,8.59
MRI-101,MRI,Riverside General,2016-03-12,2022-12-03,5.89
MRI-101,MRI,Riverside General,2016-03-12,2022-12-04,3.42
MRI-101,MRI,Riverside General,2016-03-12,2022-12-05,8.49
MRI-101,MRI,Riverside General,2016-03-12,2022-12-06,8.68
MRI-101,MRI,Riverside General,2016-03-12,2022-12-07,7.69
MRI-101,MRI,Riverside General,2016-03-12,2022-12-08,8.6
MRI-101,MRI,Riverside General,2016-03-12,2022-12-09,8.58
MRI-101,MRI,Riverside General,2016-03-12,2022-12-10,5.46
MRI-101,MRI,Riverside General,2016-03-12,2022-12-11,2.63
MRI-101,MRI,Riverside General,2016-03-12,2022-12-12,9.17
MRI-101,MRI,Riverside General,2016-03-12,2022-12-13,9.6
MRI-101,MRI,Riverside General,2016-03-12,2022-12-14,8.91
MRI-101,MRI,Riverside General,2016-03-12,2022-12-15,9.07
MRI-101,MRI,Riverside General,2016-03-12,2022-12-16,8.83
MRI-101,MRI,Riverside General,2016-03-12,2022-12-17,5.27
MRI-101,MRI,Riverside General,2016-03-12,2022-12-18,2.5
MRI-101,MRI,Riverside General,2016-03-12,2022-12-19,9.04
MRI-101,MRI,Riverside General,2016-03-12,2022-12-20,8.71
MRI-101,MRI,Riverside General,2016-03-12,2022-12-21,10.46
MRI-101,MRI,Riverside General,2016-03-12,2022-12-22,10.05
MRI-101,MRI,Riverside General,2016-03-12,2022-12-23,9.1
MRI-101,MRI,Riverside General,2016-03-12,2022-12-24,4.66
MRI-101,MRI,Riverside General,2016-03-12,2022-12-25,2.19
MRI-101,MRI,Riverside General,2016-03-12,2022-12-26,9.74
MRI-101,MRI,Riverside General,2016-03-12,2022-12-27,9.0
MRI-101,MRI,Riverside General,2016-03-12,2022-12-28,9.17
MRI-101,MRI,Riverside General,2016-03-12,2022-12-29,7.39
MRI-101,MRI,Riverside General,2016-03-12,2022-12-30,9.53
MRI-101,MRI,Riverside General,2016-03-12,2022-12-31,5.64
MRI-101,MRI,Riverside General,2016-03-12,2023-01-01,2.19
MRI-101,MRI,Riverside General,2016-03-12,2023-01-02,8.41
MRI-101,MRI,Riverside General,2016-03-12,2023-01-03,9.0
MRI-101,MRI,Riverside General,2016-03-12,2023-01-04,8.83
MRI-101,MRI,Riverside General,2016-03-12,2023-01-05,8.55
MRI-101,MRI,Riverside General,2016-03-12,2023-01-06,8.71
MRI-101,MRI,Riverside General,2016-03-12,2023-01-07,5.07
MRI-101,MRI,Riverside General,2016-03-12,2023-01-08,3.2
MRI-101,MRI,Riverside General,2016-03-12,2023-01-09,9.97
MRI-101,MRI,Riverside General,2016-03-12,2023-01-10,6.74
MRI-101,MRI,Riverside General,2016-03-12,2023-01-11,8.6
MRI-101,MRI,Riverside General,2016-03-12,2023-01-12,8.93
MRI-101,MRI,Riverside General,2016-03-12,2023-01-13,9.03
MRI-101,MRI,Riverside General,2016-03-12,2023-01-14,4.98
MRI-101,MRI,Riverside General,2016-03-12,2023-01-15,1.67
MRI-101,MRI,Riverside General,2016-03-12,2023-01-16,9.05
MRI-101,MRI,Riverside General,2016-03-12,2023-01-17,10.17
MRI-101,MRI,Riverside General,2016-03-12,2023-01-18,7.56
MRI-101,MRI,Riverside General,2016-03-12,2023-01-19,9.48
MRI-101,MRI,Riverside General,2016-03-12,2023-01-20,8.53
MRI-101,MRI,Riverside General,2016-03-12,2023-01-21,5.22
MRI-101,MRI,Riverside General,2016-03-12,2023-01-22,2.23
MRI-101,MRI,Riverside General,2016-03-12,2023-01-23,8.52
MRI-101,MRI,Riverside General,2016-03-12,2023-01-24,9.83
MRI-101,MRI,Riverside General,2016-03-12,2023-01-25,9.25
MRI-101,MRI,Riverside General,2016-03-12,2023-01-26,10.17
MRI-101,MRI,Riverside General,2016-03-12,2023-01-27,9.73
MRI-101,MRI,Riverside General,2016-03-12,2023-01-28,5.62
MRI-101,MRI,Riverside General,2016-03-12,2023-01-29,4.47
MRI-101,MRI,Riverside General,2016-03-12,2023-01-30,9.14
MRI-101,MRI,Riverside General,2016-03-12,2023-01-31,9.45
MRI-101,MRI,Riverside General,2016-03-12,2023-02-01,8.55
MRI-101,MRI,Riverside General,2016-03-12,2023-02-02,8.84
MRI-101,MRI,Riverside General,2016-03-12,2023-02-03,8.23
MRI-101,MRI,Riverside General,2016-03-12,2023-02-04,6.06
MRI-101,MRI,Riverside General,2016-03-12,2023-02-05,2.13
MRI-101,MRI,Riverside General,2016-03-12,2023-02-06,9.41
MRI-101,MRI,Riverside General,2016-03-12,2023-02-07,8.64
MRI-101,MRI,Riverside General,2016-03-12,2023-02-08,9.73
MRI-101,MRI,Riverside General,2016-03-12,2023-02-09,9.39
MRI-101,MRI,Riverside General,2016-03-12,2023-02-10,10.25
MRI-101,MRI,Riverside General,2016-03-12,2023-02-11,5.86
MRI-101,MRI,Riverside General,2016-03-12,2023-02-12,1.82
MRI-101,MRI,Riverside General,2016-03-12,2023-02-13,8.73
MRI-101,MRI,Riverside General,2016-03-12,2023-02-14,7.85
MRI-101,MRI,Riverside General,2016-03-12,2023-02-15,8.37
MRI-101,MRI,Riverside General,2016-03-12,2023-02-16,10.0
MRI-101,MRI,Riverside General,2016-03-12,2023-02-17,9.3
MRI-101,MRI,Riverside General,2016-03-12,2023-02-18,4.71
MRI-101,MRI,Riverside General,2016-03-12,2023-02-19,2.27
MRI-101,MRI,Riverside General,2016-03-12,2023-02-20,8.81
MRI-101,MRI,Riverside General,2016-03-12,2023-02-21,7.82
MRI-101,MRI,Riverside General,2016-03-12,2023-02-22,8.25
MRI-101,MRI,Riverside General,2016-03-12,2023-02-23,9.04
MRI-101,MRI,Riverside General,2016-03-12,2023-02-24,9.71
MRI-101,MRI,Riverside General,2016-03-12,2023-02-25,5.76
MRI-101,MRI,Riverside General,2016-03-12,2023-02-26,1.24
MRI-101,MRI,Riverside General,2016-03-12,2023-02-27,9.03
MRI-101,MRI,Riverside General,2016-03-12,2023-02-28,8.85
MRI-101,MRI,Riverside General,2016-03-12,2023-03-01,9.12
MRI-101,MRI,Riverside General,2016-03-12,2023-03-02,10.08
MRI-101,MRI,Riverside General,2016-03-12,2023-03-03,7.14
MRI-101,MRI,Riverside General,2016-03-12,2023-03-04,4.8
MRI-101,MRI,Riverside General,2016-03-12,2023-03-05,3.55
MRI-101,MRI,Riverside General,2016-03-12,2023-03-06,7.52
MRI-101,MRI,Riverside General,2016-03-12,2023-03-07,9.97
MRI-101,MRI,Riverside General,2016-03-12,2023-03-08,9.08
MRI-101,MRI,Riverside General,2016-03-12,2023-03-09,9.47
MRI-101,MRI,Riverside General,2016-03-12,2023-03-10,8.33
MRI-101,MRI,Riverside General,2016-03-12,2023-03-11,5.92
MRI-101,MRI,Riverside General,2016-03-12,2023-03-12,3.93
MRI-101,MRI,Riverside General,2016-03-12,2023-03-13,8.97
MRI-101,MRI,Riverside General,2016-03-12,2023-03-14,8.98
MRI-101,MRI,Riverside General,2016-03-12,2023-03-15,9.0
MRI-101,MRI,Riverside General,2016-03-12,2023-03-16,8.1
MRI-101,MRI,Riverside General,2016-03-12,2023-03-17,8.67
MRI-101,MRI,Riverside General,2016-03-12,2023-03-18,5.15
MRI-101,MRI,Riverside General,2016-03-12,2023-03-19,3.38
MRI-101,MRI,Riverside General,2016-03-12,2023-03-20,9.59
MRI-101,MRI,Riverside General,2016-03-12,2023-03-21,7.94
MRI-101,MRI,Riverside General,2016-03-12,2023-03-22,8.69
MRI-101,MRI,Riverside General,2016-03-12,2023-03-23,9.97
MRI-101,MRI,Riverside General,2016-03-12,2023-03-24,8.19
MRI-101,MRI,Riverside General,2016-03-12,2023-03-25,4.62
MRI-101,MRI,Riverside General,2016-03-12,2023-03-26,3.24
MRI-101,MRI,Riverside General,2016-03-12,2023-03-27,9.46
MRI-101,MRI,Riverside General,2016-03-12,2023-03-28,8.8
MRI-101,MRI,Riverside General,2016-03-12,2023-03-29,9.85
MRI-101,MRI,Riverside General,2016-03-12,2023-03-30,9.47
MRI-101,MRI,Riverside General,2016-03-12,2023-03-31,9.46
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-01,9.33
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-02,7.19
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-03,2.95
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-04,7.28
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-05,10.17
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-06,8.52
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-07,8.97
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-08,9.94
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-09,4.05
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-10,2.11
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-11,7.61
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-12,8.25
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-13,9.24
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-14,9.31
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-15,9.11
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-16,4.2
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-17,1.26
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-18,8.93
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-19,8.51
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-20,9.26
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-21,9.45
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-22,9.0
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-23,5.94
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-24,3.29
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-25,9.31
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-26,8.32
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-27,8.74
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-28,9.04
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-29,9.54
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-04-30,5.02
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-05-01,3.53
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-05-02,8.67
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-05-03,8.79
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-05-04,9.55
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-05-05,7.29
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-05-06,7.85
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-05-07,4.15
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-05-08,1.24
MRI-102,MRI,Lakeview Medical Center,2019-07-01,2022-05-09,8.34
