machine_id,machine_type,hospital_site,install_date,date,daily_usage_hours,age_years,manufacturer,last_service_date
MRI-101,MRI,Riverside General,2016-03-12,2022-06-03,8.05,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-04,5.67,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-05,3.19,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-06,9.34,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-07,8.45,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-08,8.92,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-09,9.29,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-10,8.54,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-11,5.64,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-12,2.55,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-13,8.5,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-14,8.48,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-15,7.83,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-16,9.18,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-17,8.41,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-18,5.28,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-19,3.46,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-20,9.15,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-21,9.32,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-22,8.71,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-23,8.45,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-24,8.72,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-25,3.92,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-26,1.92,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-27,7.73,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-28,7.99,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-29,9.11,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-06-30,8.06,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-01,8.49,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-02,6.31,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-03,2.79,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-04,9.38,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-05,8.04,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-06,8.62,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-07,8.03,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-08,8.52,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-09,5.95,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-10,1.69,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-11,9.14,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-12,8.98,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-13,8.31,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-14,7.63,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-15,8.85,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-16,4.85,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-17,3.26,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-18,8.81,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-19,10.07,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-20,8.6,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-21,7.97,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-22,8.93,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-23,5.45,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-24,4.16,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-25,9.46,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-26,9.07,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-27,9.96,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-28,7.84,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-29,8.28,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-30,4.53,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-07-31,2.76,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-01,7.69,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-02,9.3,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-03,8.61,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-04,7.61,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-05,7.98,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-06,5.52,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-07,3.75,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-08,10.39,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-09,11.12,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-10,9.12,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-11,8.0,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-12,7.08,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-13,5.49,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-14,2.43,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-15,8.46,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-16,8.3,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-17,8.68,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-18,9.64,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-19,8.91,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-20,5.15,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-21,2.25,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-22,7.45,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-23,8.4,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-24,8.75,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-25,10.2,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-26,8.89,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-27,6.06,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-28,2.68,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-29,7.84,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-30,8.02,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-08-31,8.21,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-01,10.49,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-02,8.13,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-03,5.94,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-04,2.35,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-05,9.53,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-06,9.1,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-07,8.66,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-08,8.76,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-09,8.26,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-10,5.63,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-11,2.71,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-12,7.81,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-13,7.77,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-14,8.93,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-15,10.05,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-16,8.92,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-17,5.18,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-18,3.3,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-19,9.83,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-20,8.96,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-21,8.46,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-22,9.67,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-23,9.13,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-24,6.5,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-25,3.22,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-26,7.81,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-27,7.69,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-28,10.11,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-29,10.17,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-09-30,8.64,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-01,4.97,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-02,4.25,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-03,7.9,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-04,8.07,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-05,9.3,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-06,8.47,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-07,8.78,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-08,5.14,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-09,3.35,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-10,9.91,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-11,8.86,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-12,9.3,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-13,7.15,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-14,8.75,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-15,4.6,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-16,2.1,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-17,8.09,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-18,8.52,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-19,9.52,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-20,7.73,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-21,8.81,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-22,4.89,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-23,2.81,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-24,9.59,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-25,9.22,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-26,9.86,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-27,8.66,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-28,8.23,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-29,5.09,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-30,3.27,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-10-31,8.93,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-01,7.92,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-02,8.86,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-03,8.97,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-04,10.8,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-05,6.77,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-06,2.39,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-07,8.56,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-08,7.62,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-09,8.32,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-10,9.04,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-11,9.75,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-12,4.69,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-13,2.55,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-14,7.07,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-15,8.66,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-16,7.94,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-17,8.36,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-18,8.09,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-19,5.2,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-20,1.67,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-21,7.61,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-22,10.49,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-23,7.76,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-24,7.91,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-25,10.26,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-26,7.6,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-27,2.14,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-28,8.49,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-29,9.06,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-11-30,10.17,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-12-01,8.0,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-12-02,8.59,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-12-03,5.89,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-12-04,3.42,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-12-05,8.49,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-12-06,8.68,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-12-07,7.69,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-12-08,8.6,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-12-09,8.58,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-12-10,5.46,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-12-11,2.63,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-12-12,9.17,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-12-13,9.6,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-12-14,8.91,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-12-15,9.07,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-12-16,8.83,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-12-17,5.27,7.05,GE HealthCare,2023-03-19
MRI-101,MRI,Riverside General,2016-03-12,2022-12-18,2.5,7.05,GE HealthCare,2023-03-19
